Certus1
3474994695.1220	0.993161599212 -0.040139289360 0.109630631213 367.636250049302 -0.055671198942 -0.988226048061 0.142513141646 -82.902589204647 0.102619469200 -0.147641848347 -0.983702764639 -2187.808870704517 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |	
3474994695.1557	0.992997063493 -0.040235460632 0.111076278304 367.807693826796 -0.056001151024 -0.988182499317 0.142685735542 -82.889701307006 0.104022608014 -0.147906915832 -0.983515552125 -2187.420488270679 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |	
3474994695.1902	0.993035950317 -0.040601425329 0.110594419569 367.991947223818 -0.056640271364 -0.987663855927 0.145986257417 -82.886346745375 0.103302860746 -0.151233699803 -0.983085391513 -2187.593459116642 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |	
3474994695.2595	0.993109170795 -0.040899399786 0.109824468952 368.365355872314 -0.057187727380 -0.987102394638 0.149527343107 -82.568672086142 0.102292417708 -0.154777587514 -0.982639384354 -2187.712580189169 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |	
3474994695.2937	0.992941954635 -0.041216157251 0.111209276175 368.623200543449 -0.057749488086 -0.987026575692 0.149811666777 -82.551759599275 0.103591849832 -0.155176568007 -0.982440309327 -2187.202128127506 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |	
3474994695.3616	0.992749479645 -0.042904040636 0.112284077062 368.966989730287 -0.059223934285 -0.987464335556 0.146310326407 -82.261786812571 0.104599217360 -0.151899405209 -0.982845651374 -2187.222885933421 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |	
3474994695.4284	0.992615528266 -0.045054342168 0.112625571240 369.001056374842 -0.061501525970 -0.987204727327 0.147120320308 -82.179958080895 0.104556087095 -0.152960558955 -0.982685652717 -2187.665160144643 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |	
3474994695.4610	0.992420634041 -0.045828780203 0.114021962946 368.922640076184 -0.062409568616 -0.987256145194 0.146391084163 -82.241032679853 0.105859958786 -0.152397594083 -0.982633523977 -2187.307866095592 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |	
3474994695.5297	0.992196363631 -0.047114697093 0.115440813038 368.299552260776 -0.064070196010 -0.986927785110 0.147880211525 -82.357906763603 0.106964414551 -0.154122523647 -0.982244807431 -2187.225735935838 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |	
3474994695.5635	0.992159153547 -0.048006462530 0.115393212920 367.867313909354 -0.064932312292 -0.986895510917 0.147719481969 -82.557045474548 0.106789554045 -0.154053984330 -0.982274585368 -2187.620924070818 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |	
3474994695.6305	0.992253076297 -0.047020813365 0.114990763500 366.899854216733 -0.064784569207 -0.985631715637 0.155990643061 -82.992363019852 0.106003736597 -0.162231822527 -0.981042325074 -2188.003419932496 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |	
3474994695.6635	0.992249685046 -0.046114312740 0.115386449321 366.683852169937 -0.063913303910 -0.985740663338 0.155661280429 -83.051776783450 0.106562902127 -0.161829585682 -0.981048180819 -2187.887721598896 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |	
3474994695.7291	0.991922879963 -0.046311123522 0.118085901120 366.168160712491 -0.063434938811 -0.987299919440 0.145653278753 -83.298042397284 0.109840833679 -0.151967591649 -0.982263122766 -2187.750129909819 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |	
