Certus1	
3476099914	0.334237872580 0.779596722720 0.529635718637 330.881713867187 0.929035723221 -0.367133659615 -0.045885738044 -292.854949951172 0.158674728648 0.507387254374 -0.846983178456 -1708.910034179687 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |
3476099914	0.342683279138 0.788136336490 0.511282001740 327.019775390625 0.926732712669 -0.372845319982 -0.046398778391 -291.730621337891 0.154060538321 0.489721841939 -0.858159581931 -1706.562377929687 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |
3476099914	0.345074519334 0.790384869226 0.506177177087 325.814727783203 0.926059896852 -0.374493844001 -0.046555646780 -291.207336425781 0.152763358001 0.484815551837 -0.861172013682 -1705.846435546875 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |
3476099914	0.347338679628 0.790336385629 0.504702129166 324.781921386719 0.925789230464 -0.374660728176 -0.050434507225 -290.748748779297 0.149231841074 0.484765650922 -0.861819076893 -1704.841186523437 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |
3476099914	0.348005916312 0.792062748561 0.501526155404 324.648284912109 0.925926146059 -0.374167504338 -0.051569862728 -290.834442138672 0.146808222713 0.482322797554 -0.863604113413 -1704.016967773437 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |
3476099914	0.347356945572 0.790903922927 0.503799699347 324.863769531250 0.926137044213 -0.373574149274 -0.052081957825 -290.526123046875 0.147014719331 0.484678594218 -0.862248996872 -1703.229858398437 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |
3476099914	0.345241234912 0.787180276934 0.511033953200 325.083038330078 0.926423007127 -0.372963746862 -0.051365897168 -290.170898437500 0.150162916801 0.491167237438 -0.858024383852 -1703.899291992187 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |
3476099915	0.342977165537 0.788877592254 0.509940004667 325.100982666016 0.926915214967 -0.372244108886 -0.047565824513 -290.298553466797 0.152298549508 0.488985140714 -0.858893872361 -1704.046386718750 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |
3476099915	0.344139419553 0.794261810106 0.500715724655 324.671325683594 0.926921146942 -0.372378786219 -0.046381320875 -290.088195800781 0.149617001914 0.480085634633 -0.864368287339 -1703.733520507812 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |
3476099915	0.346184096556 0.791014773029 0.504432552619 324.941680908203 0.926171881004 -0.373857049078 -0.049361459586 -288.805450439453 0.149540021830 0.484279398391 -0.862039005014 -1704.583984375000 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |
3476099915	0.343987089977 0.790570372611 0.506627444854 325.279113769531 0.926565978933 -0.373219136400 -0.046722188613 -288.652191162109 0.152145879384 0.485495584094 -0.860898175867 -1705.223754882812 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |
3476099915	0.341396616713 0.789498924353 0.510039016687 325.995513916016 0.927148968314 -0.372011365078 -0.044747455877 -288.746185302734 0.154412242558 0.488158778164 -0.858986534615 -1706.382812500000 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |
3476099915	0.341051148108 0.788416124347 0.511941529126 326.278350830078 0.927185350929 -0.371897164685 -0.044942451233 -288.728790283203 0.154956249946 0.489992360929 -0.857843835924 -1706.607788085937 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |
3476099915	0.343387167173 0.785977621308 0.514124918891 326.464202880859 0.926395937335 -0.373513619640 -0.047729898727 -287.947998046875 0.154518027135 0.492673070856 -0.856386258965 -1706.444091796875 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |
3476099915	0.344958360228 0.789181942145 0.508129503081 325.912353515625 0.926048272116 -0.374453766949 -0.047105988239 -287.875152587891 0.153095811241 0.486802052799 -0.859991531337 -1705.905761718750 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |
3476099915	0.344345927575 0.788285920920 0.509932533814 325.860198974609 0.926156511821 -0.374206826256 -0.046940034035 -288.260437011719 0.153818067126 0.488440946342 -0.858932735528 -1705.936767578125 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |
3476099915	0.342695895843 0.786281223442 0.514121931681 326.328979492187 0.927053373009 -0.371637969980 -0.049570786373 -288.999816894531 0.152090652455 0.493606175946 -0.856283467377 -1705.703125000000 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |
3476099915	0.342087756122 0.786922702586 0.513545156015 326.592224121094 0.927522171205 -0.370364231921 -0.050328497258 -289.173278808594 0.150594120185 0.493541280815 -0.856585322719 -1705.457763671875 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |
